A. Vellalapatti
Abiramam
Achampudur
Acharapakkam
Acharipallam
Achipatti
Adikaratti
Aduthurai
Adyar
Agaram
Agastheeswaram
Akkaraipettai
Alagappapuram
Alagapuri
Alandur
Alanganallur
Alangayam
Alangulam
Alanthurai
Allapuram
Alwarkurichi
Alwarthirunagiri
Ambasamudram
Ambattur
Ambur
Ammainaickanur
Ammavarikuppam
Ammoor
Anaimalai
Anaiyur
Anakaputhur
Andipalayam
Andipatti Jakkampatti
Anjugramam
Annamalai Nagar
Annavasal
Annur
Anthiyur
Arachalur
Arakonam
Aralvaimozhi
Arani
Aranthangi
Aravakurichi
Aravankad
Arcot
Arimalam
Ariyalur
Ariyappampalayam
Ariyur
Arumanai
Arumbavur
Arumuganeri
Aruppukkottai
Aruvankadu
Athani
Athanur
Athipattu
Attayampatti
Attur
Auroville
Avadattur
Avadi
Avalpoondurai
Avaniapuram
Avinashi
Ayakudi
Aygudi
Ayothiapattinam
Ayyalur
Ayyampalayam
Ayyampettai
B. Mallapuram
Balakrishnampatti
Balakrishnapuram
Balasamudram
Bargur
Batlagundu
Belur
Bhavani
Bhavanisagar
Bhuvanagiri
Bikketti
Bodinayakkanur
Boothapandi
Boothipuram
Chatrapatti
Chengalpattu
Chengam
Chennai
Chennasamudram
Chennimalai
Cheranmadevi
Chetpet
Chettiarpatti
Chettipalayam
Chettithangal
Cheyyur
Chidambaram
Chinna Anuppanadi
Chinnalapatti
Chinnamanur
Chinnampalayam
Chinnasalem
Chinnasekkadu
Chinnavedampatti
Chithode
Chitlapakkam
Cholapuram
Coimbatore
Cuddalore
Dalavaipatti
Darasuram
Denkanikottai
Devadanapatti
Devakottai
Devanangurichi
Devarshola
Dhalavoipuram
Dhali
Dhaliyur
Dharapuram
Dharasuram
Dharmapuri
Dindigul
Edaganasalai
Edakalinadu
Edappadi
Elayirampannai
Elumalai
Eral
Eraniel
Eriodu
Erode
Erumaipatti
Eruvadi
Ethapur
Ettayapuram
Ettimadai
Ezhudesam
Gangaikondan
Gangavalli
Ganguvarpatti
Gobichettipalayam
Gopalasamudram
Goundampalayam
Gudiyatham
Gummidipoondi
Harur
Harveypatti
Hosur
Hubbathala
Huligal
Idikarai
Ilampillai
Ilanji
Iluppur
Inam Karur
Injambakkam
Irugur
Jaffrabad
Jagathala
Jalakandapuram
Jalladiampet
Jambai
Jolarpet
Kadambur
Kadathur
Kadayal
Kadayampatti
Kadayanallur
Kalakkad
Kalambur
Kalapatti
Kalavai
Kaliyakkavilai
Kalladaikurichi
Kallakkurichi
Kallakudi
Kallukuttam
Kalugumalai
Kambainallur
Kambam
Kamuthi
Kanadukathan
Kanakkampalayam
Kanchipuram
Kangayampalayam
Kangeyam
Kangeyanallur
Kaniyur
Kannadendal
Kannamangalam
Kannampalayam
Kannankurichi
Kanyakumari
Kappiyarai
Karaikkudi
Karamadai
Karambakkudi
Kariamangalam
Kariapatti
Karugampattur
Karungal
Karunguzhi
Karuppur
Karur
Kasipalayam (E)
Kathirvedu
Kathujuganapalli
Katpadi
Kattivakkam
Kattumannarkoil
Kattuputhur
Kaveripakkam
Kaveripattinam
Kavundampalayam
Kayalpattinam
Kayatharu
Keelakarai
Keeramangalam
Keeranur
Keeripatti
Keezhapavur
Kelambakkam
Kilampadi
Kilkunda
Killai
Killiyur
Kilpennathur
Kilvelur
Kinathukadavu
Kochadai
Kodavasal
Kodumudi
Kolappalur
Kolathupalayam
Kolathur
Kollankodu
Kollankoil
Komaralingam
Kondalampatti
Kooraikundu
Koothappar
Koradacheri
Kotagiri
Kothinallur
Kottaiyur
Kottaram
Kottivakkam
Kouthanallur
Kovilpatti
Krishnagiri
Krishnasamudram
Kuchanur
Kuhalur
Kulasekarapatnam
Kulasekarapuram
Kulithalai
Kumarapalayam
