Almora 
Bageshwar 
Chamoli 
Champawat 
Dehradun 
Haldwani 
Haridwar 
Jaspur 
Kashipur 
Kathgodam 
Kotdwara 
Laksar 
Manglaur 
Mussoorie 
Nainital 
Pauri 
Pauri Garhwal
Pithoragarh 
Ramnagar 
Ranikhet 
Ranipur (BHEL) 
Rishikesh 
Roorkee 
Rudraprayag 
Rudrapur 
Sitarganj 
Srinagar 
Tehri 
Tehri Garhwal
Udham Singh Nagar
Uttarkashi 
