Arad
Bacau
Baia Mare
Botosani
Braila
Brasov
Bucharest
Buzau
Cluj-Napoca
Constanta
Craiova
Drobeta Turnu-Severin
Focsani
Galati
Iasi
Oradea 
Piatra Neamt
Pitesti
Ploiesti 
Rimnica Vilcea 
Satu Mare 
Sibiu
Suceava
Targu-Mures 
Timisoara
Other
